regatta,season,start_date,end_date,source,note
Cowes Week,2026,2026-08-01,2026-08-07,https://www.royal-southern.co.uk/on-water-programme-2026/,"Bicentenary regatta; RORC's 2026 programme gives the same 01-07 August"
Warsash Spring Championships,2026,2026-04-18,2026-04-26,https://warsashsc.org.uk/henri-lloyd-spring-championship-weekend-1-18-19-april/,"Two weekends: 18-19 and 25-26 April. Also readable from the race names, which carry the day"
Royal Southern May Regatta,2026,2026-05-09,2026-05-10,https://www.royal-southern.co.uk/on-water-programme-2026/,Summer Series: May Regatta
Royal Southern June Regatta,2026,2026-06-13,2026-06-14,https://www.royal-southern.co.uk/on-water-programme-2026/,Summer Series: June Regatta
Royal Southern Cape 31 UK National Championship,2026,2026-07-03,2026-07-05,https://www.royal-southern.co.uk/on-water-programme-2026/,
Royal Southern 4x4 Championships,2026,2026-04-11,2026-04-12,https://www.royal-southern.co.uk/on-water-programme-2026/,"Series I. Series II is 3-4 October 2026 and had not sailed when these results were loaded"
Royal Southern Round the Isle of Wight Double-Handed,2026,2026-05-16,2026-05-16,https://www.royal-southern.co.uk/on-water-programme-2026/,Listed as Round the Isle of Wight Double / Doublehanded Championships
RORC Easter Challenge,2026,2026-04-03,2026-04-05,https://www.rorc.org/racing/race-programme,
RORC Cherbourg Race,2026,2026-09-04,2026-09-04,https://www.rorc.org/racing/race-programme,With JOG
IRC National Championship,2026,2026-08-26,2026-08-29,https://rorc.org/2026-rorc-racing-programme-unleashed,Dartmouth
Cowes Week,2027,2027-07-31,2027-08-06,https://www.cowesweek.co.uk/,Published on the event's own front page
Round the Island Race,2027,2027-07-10,2027-07-10,https://roundtheisland.org.uk/,"""Saturday July 10th 2027"" on the organiser's front page"
