Keep,Fold,Why
RORC Cervantes Trophy Race,RORC Cervantes Trophy (Offshore),One race under two records. The (Offshore) shell held the reported entry counts; the results were loaded under the Trophy Race name from season points and again from the per-race pages.
JOG Lewmar Lonely Tower,JOG Lonely Tower,"Entry list and results of one race. The fold record is the pre-race entry list from the JOG fleet spreadsheet - 93 boats, status entered, no date; the keeper holds the sailed results for 21 Mar 2026 under the sponsored name. 91 of the 93 boats are in both."
JOG Cowes-Cherbourg,JOG Cherbourg,"Entry list and results of one race, same shape as the Lonely Tower pair. The fold record is the JOG fleet spreadsheet's pre-race entry list, 34 boats, status entered, no date. Folded into the OUTBOUND leg on the evidence rather than the return: 28 of the 34 appear in Cowes-Cherbourg (03 Apr 2026), 18 in Cherbourg-Cowes (05 Apr). An entry list is for the race you enter, and fewer boats sail the return."
RORC Cherbourg Race,RORC Lewmar Cherbourg Race,One race under a sponsored name for a single season. Lewmar backed the 2024 edition; the unsponsored record holds 2025 and 2026 and the promoted legacy seasons.
RORC Morgan Cup Race,RORC Salcombe Gin Morgan Cup Race,Sponsor prefix on the 2024 edition of a race that runs every year.
RORC Castle Rock Race,RORC Salcombe Gin Castle Rock Race,Sponsor prefix on the 2023 edition.
RORC Round Ireland Race,RORC SSE Renewables Round Ireland Race,"Sponsor prefix on the 2024 edition. Volvo and SSE Renewables have both titled this race; the plain name is the one every season can share."
RORC Dun Laoghaire to Dingle Race,RORC Dun Loghaire to Dingle Race,"Misspelling of Dun Laoghaire in the 2023 record, which split one race across two rows."
RORC Transatlantic Race,RORC Transatlantic Race 2025 Newport RI to Cowes,"The 2025 west-to-east edition, filed under a name carrying its year and route. The season on the event already records the year."
RORC Caribbean 600 Race,RORC Caribbean 600 CSA OV,The CSA Overall division of the 2012 race filed as its own regatta.
Rolex Middle Sea Race,Rolex Middle Sea Race 2022,"Year in the record name. Note the season: RORC scores October's Middle Sea Race into the FOLLOWING season's points, so the 2022 race sits under season 2023. That offset is consistent across every Middle Sea record here, promoted ones included."
Rolex Middle Sea Race,Rolex Middle Sea Race 2023,Year in the record name; same season offset as the 2022 edition.
Rolex Middle Sea Race,Rolex Middle Sea Race 2024,Year in the record name; same season offset as the 2022 edition.
